zip	type	primary_city	state	latitude	longitude
01453	STANDARD	Leominster	MA	42.51	-71.77
01460	STANDARD	Littleton	MA	42.53	-71.47
01462	STANDARD	Lunenburg	MA	42.59	-71.72
01463	STANDARD	Pepperell	MA	42.66	-71.58
01464	STANDARD	Shirley	MA	42.54	-71.65
01467	PO BOX	Still River	MA	42.49	-71.61
01468	STANDARD	Templeton	MA	42.55	-72.06
01469	STANDARD	Townsend	MA	42.66	-71.7
01470	UNIQUE	Groton	MA	42.6	-71.57
01471	UNIQUE	Groton	MA	42.6	-71.57
01472	PO BOX	West Groton	MA	42.61	-71.62
01473	STANDARD	Westminster	MA	42.55	-71.9
01474	STANDARD	West Townsend	MA	42.66	-71.74
01475	STANDARD	Winchendon	MA	42.68	-72.04
01477	PO BOX	Winchendon Springs	MA	42.69	-72.01
01501	STANDARD	Auburn	MA	42.2	-71.83
01503	STANDARD	Berlin	MA	42.38	-71.63
01504	STANDARD	Blackstone	MA	42.04	-71.53
01505	STANDARD	Boylston	MA	42.35	-71.73
01506	STANDARD	Brookfield	MA	42.21	-72.1
01507	STANDARD	Charlton	MA	42.13	-71.96
01508	PO BOX	Charlton City	MA	42.13	-71.96
01509	PO BOX	Charlton Depot	MA	42.13	-71.96
01510	STANDARD	Clinton	MA	42.41	-71.68
01515	STANDARD	East Brookfield	MA	42.22	-72.04
01516	STANDARD	Douglas	MA	42.05	-71.73
01517	PO BOX	East Princeton	MA	42.46	-71.89
01518	STANDARD	Fiskdale	MA	42.12	-72.11
01519	STANDARD	Grafton	MA	42.2	-71.68
01520	STANDARD	Holden	MA	42.35	-71.85
01521	STANDARD	Holland	MA	42.05	-72.15
01522	STANDARD	Jefferson	MA	42.38	-71.87
01523	STANDARD	Lancaster	MA	42.45	-71.66
01524	STANDARD	Leicester	MA	42.25	-71.9
01525	PO BOX	Linwood	MA	42.11	-71.63
01526	PO BOX	Manchaug	MA	42.12	-71.76
01527	STANDARD	Millbury	MA	42.19	-71.76
01529	STANDARD	Millville	MA	42.03	-71.58
01531	STANDARD	New Braintree	MA	42.31	-72.13
01532	STANDARD	Northborough	MA	42.31	-71.64
01534	STANDARD	Northbridge	MA	42.15	-71.65
